date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-04-02,Kansas City Royals,Minnesota Twins,0,0.20000000000000018,0.8000000000000007,1.0,0.39999999999999997,0
2026-04-02,Arizona Diamondbacks,Atlanta Braves,0,0.16666666666666696,-2.5,-2.3333333333333335,-0.16666666666666663,0
2026-04-02,San Francisco Giants,New York Mets,1,-1.5,-0.8333333333333335,-2.333333333333333,-0.16666666666666669,0
2026-04-03,Washington Nationals,Los Angeles Dodgers,0,2.4999999999999996,-1.8333333333333335,0.6666666666666667,-0.16666666666666663,0
2026-04-03,Detroit Tigers,St. Louis Cardinals,1,-0.833333333333333,0.666666666666667,-0.16666666666666666,-0.3333333333333333,0
2026-04-03,New York Yankees,Miami Marlins,1,-1.5,2.0,0.5,0.0,0
2026-04-03,Boston Red Sox,San Diego Padres,1,-0.33333333333333304,-1.0,-1.3333333333333333,-0.16666666666666666,0
2026-04-03,Chicago White Sox,Toronto Blue Jays,1,-1.0,-3.999999999999999,-5.0,-0.5,0
2026-04-03,Texas Rangers,Cincinnati Reds,0,2.4999999999999996,-0.16666666666666696,2.3333333333333335,0.16666666666666663,0
2026-04-03,Cleveland Guardians,Chicago Cubs,1,-1.8571428571428572,-0.14285714285714324,-2.0,0.0714285714285714,0
2026-04-03,Minnesota Twins,Tampa Bay Rays,1,-0.666666666666667,1.666666666666666,1.0,0.0,-1
2026-04-03,Colorado Rockies,Philadelphia Phillies,0,0.16666666666666652,2.5,2.6666666666666665,-0.16666666666666669,0
2026-04-03,Pittsburgh Pirates,Baltimore Orioles,1,0.5,0.16666666666666696,0.6666666666666666,0.0,0
2026-04-03,Los Angeles Angels,Seattle Mariners,0,0.5714285714285716,-1.5714285714285716,-1.0,0.0,0
2026-04-03,Athletics,Houston Astros,1,-3.5952380952380953,0.07142857142857117,-3.5238095238095237,-0.5476190476190477,0
2026-04-03,Arizona Diamondbacks,Atlanta Braves,0,-1.9999999999999996,-4.285714285714286,-6.285714285714286,-0.28571428571428575,0
2026-04-03,San Francisco Giants,New York Mets,0,-0.5714285714285716,0.0,-0.5714285714285714,0.0,0
2026-04-04,Chicago White Sox,Toronto Blue Jays,1,-0.7142857142857144,-3.2857142857142856,-4.0,-0.2857142857142857,0
2026-04-04,Kansas City Royals,Milwaukee Brewers,0,-3.6666666666666665,-1.8333333333333335,-5.5,-0.33333333333333337,-1
2026-04-04,Kansas City Royals,Milwaukee Brewers,1,-3.5714285714285716,-2.0,-5.571428571428571,-0.42857142857142855,0
2026-04-04,Washington Nationals,Los Angeles Dodgers,0,1.1428571428571423,-2.571428571428571,-1.4285714285714286,-0.28571428571428575,0
2026-04-04,Athletics,Houston Astros,0,-2.125,0.9464285714285712,-1.1785714285714286,-0.3392857142857143,0
2026-04-04,Pittsburgh Pirates,Baltimore Orioles,1,0.5714285714285712,0.2857142857142856,0.8571428571428571,0.14285714285714285,0
2026-04-04,Boston Red Sox,San Diego Padres,0,0.1428571428571428,-0.42857142857142794,-0.2857142857142856,0.0,0
2026-04-04,Texas Rangers,Cincinnati Reds,0,1.8571428571428572,-0.42857142857142794,1.4285714285714286,0.0,0
2026-04-04,New York Yankees,Miami Marlins,1,-0.4285714285714288,2.5714285714285716,2.1428571428571423,0.1428571428571428,0
2026-04-04,Minnesota Twins,Tampa Bay Rays,0,0.2857142857142865,2.2857142857142856,2.571428571428571,0.14285714285714285,0
2026-04-04,Arizona Diamondbacks,Atlanta Braves,1,-2.0,-4.0,-6.0,-0.375,0
2026-04-04,Colorado Rockies,Philadelphia Phillies,0,-1.1428571428571428,0.8571428571428568,-0.2857142857142857,-0.2857142857142857,0
2026-04-04,San Francisco Giants,New York Mets,0,-1.375,-0.875,-2.25,-0.125,0
2026-04-04,Los Angeles Angels,Seattle Mariners,1,0.25,-1.625,-1.375,-0.125,0
2026-04-05,Cleveland Guardians,Chicago Cubs,0,-1.1785714285714288,0.25,-0.9285714285714286,0.19642857142857145,0
2026-04-05,Cleveland Guardians,Chicago Cubs,1,-1.1111111111111112,0.05555555555555536,-1.0555555555555556,0.05555555555555558,0
2026-04-05,Washington Nationals,Los Angeles Dodgers,0,0.375,-2.875,-2.5,-0.375,0
2026-04-05,Pittsburgh Pirates,Baltimore Orioles,1,0.625,0.375,1.0,0.25,0
